participant_id,sub,cohort,task,excluded,exclusion_reason
sub-CC221595,CC221595,camcan,Movie,False,
sub-CC221733,CC221733,camcan,Movie,False,
sub-CC221740,CC221740,camcan,Movie,False,
sub-CC221755,CC221755,camcan,Movie,False,
sub-CC221775,CC221775,camcan,Movie,False,
sub-CC221828,CC221828,camcan,Movie,False,
sub-CC221886,CC221886,camcan,Movie,False,
sub-CC221935,CC221935,camcan,Movie,False,
sub-CC221954,CC221954,camcan,Movie,False,
sub-CC221977,CC221977,camcan,Movie,False,
sub-CC221980,CC221980,camcan,Movie,False,
sub-CC222120,CC222120,camcan,Movie,False,
sub-CC222125,CC222125,camcan,Movie,False,
sub-CC222185,CC222185,camcan,Movie,False,
sub-CC222258,CC222258,camcan,Movie,False,
sub-CC222264,CC222264,camcan,Movie,False,
sub-CC222304,CC222304,camcan,Movie,False,
sub-CC222326,CC222326,camcan,Movie,False,
sub-CC222367,CC222367,camcan,Movie,False,
sub-CC222496,CC222496,camcan,Movie,False,
sub-CC222555,CC222555,camcan,Movie,False,
sub-CC222652,CC222652,camcan,Movie,False,
sub-CC222797,CC222797,camcan,Movie,False,
sub-CC222956,CC222956,camcan,Movie,False,
sub-CC223085,CC223085,camcan,Movie,False,
sub-CC223115,CC223115,camcan,Movie,False,
sub-CC223286,CC223286,camcan,Movie,False,
sub-CC310008,CC310008,camcan,Movie,False,
sub-CC310051,CC310051,camcan,Movie,False,
sub-CC310052,CC310052,camcan,Movie,False,
sub-CC310086,CC310086,camcan,Movie,False,
sub-CC310129,CC310129,camcan,Movie,False,
sub-CC310135,CC310135,camcan,Movie,False,
sub-CC310142,CC310142,camcan,Movie,False,
sub-CC310160,CC310160,camcan,Movie,False,
sub-CC310203,CC310203,camcan,Movie,False,
sub-CC310214,CC310214,camcan,Movie,False,
sub-CC310224,CC310224,camcan,Movie,False,
sub-CC310252,CC310252,camcan,Movie,False,
sub-CC310256,CC310256,camcan,Movie,False,
sub-CC310331,CC310331,camcan,Movie,False,
sub-CC310361,CC310361,camcan,Movie,False,
sub-CC310385,CC310385,camcan,Movie,False,
sub-CC310391,CC310391,camcan,Movie,False,
sub-CC310397,CC310397,camcan,Movie,False,
sub-CC310400,CC310400,camcan,Movie,False,
sub-CC310402,CC310402,camcan,Movie,False,
sub-CC310407,CC310407,camcan,Movie,False,
sub-CC310410,CC310410,camcan,Movie,False,
sub-CC310414,CC310414,camcan,Movie,False,
sub-CC310450,CC310450,camcan,Movie,False,
sub-CC310463,CC310463,camcan,Movie,False,
sub-CC310473,CC310473,camcan,Movie,False,
sub-CC312058,CC312058,camcan,Movie,False,
sub-CC312222,CC312222,camcan,Movie,False,
sub-CC320002,CC320002,camcan,Movie,False,
sub-CC320022,CC320022,camcan,Movie,False,
sub-CC320059,CC320059,camcan,Movie,False,
sub-CC320088,CC320088,camcan,Movie,False,
sub-CC320089,CC320089,camcan,Movie,False,
sub-CC320107,CC320107,camcan,Movie,False,
sub-CC320109,CC320109,camcan,Movie,False,
sub-CC320160,CC320160,camcan,Movie,False,
sub-CC320202,CC320202,camcan,Movie,False,
sub-CC320206,CC320206,camcan,Movie,False,
sub-CC320218,CC320218,camcan,Movie,False,
sub-CC320267,CC320267,camcan,Movie,False,
sub-CC320269,CC320269,camcan,Movie,False,
sub-CC320297,CC320297,camcan,Movie,False,
sub-CC320321,CC320321,camcan,Movie,False,
sub-CC320325,CC320325,camcan,Movie,False,
sub-CC320336,CC320336,camcan,Movie,False,
sub-CC320342,CC320342,camcan,Movie,False,
sub-CC320359,CC320359,camcan,Movie,False,
sub-CC320379,CC320379,camcan,Movie,False,
sub-CC320417,CC320417,camcan,Movie,False,
sub-CC320429,CC320429,camcan,Movie,False,
sub-CC320448,CC320448,camcan,Movie,False,
sub-CC320461,CC320461,camcan,Movie,False,
sub-CC320478,CC320478,camcan,Movie,False,
sub-CC320500,CC320500,camcan,Movie,False,
sub-CC320553,CC320553,camcan,Movie,False,
sub-CC320568,CC320568,camcan,Movie,False,
sub-CC320574,CC320574,camcan,Movie,False,
sub-CC320575,CC320575,camcan,Movie,False,
sub-CC320576,CC320576,camcan,Movie,False,
sub-CC320608,CC320608,camcan,Movie,False,
sub-CC320616,CC320616,camcan,Movie,False,
sub-CC320621,CC320621,camcan,Movie,False,
sub-CC320636,CC320636,camcan,Movie,False,
sub-CC320651,CC320651,camcan,Movie,False,
sub-CC320661,CC320661,camcan,Movie,False,
sub-CC320680,CC320680,camcan,Movie,False,
sub-CC320686,CC320686,camcan,Movie,False,
sub-CC320687,CC320687,camcan,Movie,False,
sub-CC320698,CC320698,camcan,Movie,False,
sub-CC320759,CC320759,camcan,Movie,False,
sub-CC320776,CC320776,camcan,Movie,False,
sub-CC320814,CC320814,camcan,Movie,False,
sub-CC320850,CC320850,camcan,Movie,False,
sub-CC320870,CC320870,camcan,Movie,False,
sub-CC320888,CC320888,camcan,Movie,False,
sub-CC320893,CC320893,camcan,Movie,False,
sub-CC320904,CC320904,camcan,Movie,False,
sub-CC321000,CC321000,camcan,Movie,False,
sub-CC321025,CC321025,camcan,Movie,False,
sub-CC321053,CC321053,camcan,Movie,False,
sub-CC321069,CC321069,camcan,Movie,False,
sub-CC321073,CC321073,camcan,Movie,False,
sub-CC321087,CC321087,camcan,Movie,False,
sub-CC321107,CC321107,camcan,Movie,False,
sub-CC321137,CC321137,camcan,Movie,False,
sub-CC321154,CC321154,camcan,Movie,False,
sub-CC321174,CC321174,camcan,Movie,False,
sub-CC321203,CC321203,camcan,Movie,False,
sub-CC321281,CC321281,camcan,Movie,False,
sub-CC321291,CC321291,camcan,Movie,False,
sub-CC321331,CC321331,camcan,Movie,False,
sub-CC321368,CC321368,camcan,Movie,False,
sub-CC321428,CC321428,camcan,Movie,False,
sub-CC321431,CC321431,camcan,Movie,False,
sub-CC321464,CC321464,camcan,Movie,False,
sub-CC321504,CC321504,camcan,Movie,False,
sub-CC321506,CC321506,camcan,Movie,False,
sub-CC321529,CC321529,camcan,Movie,False,
sub-CC321544,CC321544,camcan,Movie,False,
sub-CC321557,CC321557,camcan,Movie,False,
sub-CC321585,CC321585,camcan,Movie,False,
sub-CC321594,CC321594,camcan,Movie,False,
sub-CC321595,CC321595,camcan,Movie,False,
sub-CC321880,CC321880,camcan,Movie,False,
sub-CC321899,CC321899,camcan,Movie,False,
sub-CC321976,CC321976,camcan,Movie,False,
sub-CC322186,CC322186,camcan,Movie,False,
sub-CC410015,CC410015,camcan,Movie,False,
sub-CC410032,CC410032,camcan,Movie,False,
sub-CC410040,CC410040,camcan,Movie,False,
sub-CC410084,CC410084,camcan,Movie,False,
sub-CC410086,CC410086,camcan,Movie,False,
sub-CC410091,CC410091,camcan,Movie,False,
sub-CC410094,CC410094,camcan,Movie,False,
sub-CC410097,CC410097,camcan,Movie,False,
